doc_id,source,category,file_path,file_name,status,priority
dnv_dnv_class_2026_04_dnv_cg_0036_ed27fc68,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0036.pdf,DNV-CG-0036.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0037_1f169d59,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0037.pdf,DNV-CG-0037.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0038_1806d398,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0038.pdf,DNV-CG-0038.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0039_d4de4202,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0039.pdf,DNV-CG-0039.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0040_96652173,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0040.pdf,DNV-CG-0040.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0041_a4130e69,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0041.pdf,DNV-CG-0041.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0042_7cce5202,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0042.pdf,DNV-CG-0042.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0044_4f0b2c5e,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0044.pdf,DNV-CG-0044.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0051_ab7613c3,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0051.pdf,DNV-CG-0051.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0053_5960c69a,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0053.pdf,DNV-CG-0053.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0058_314b37e4,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0058.pdf,DNV-CG-0058.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0060_63fb5519,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0060.pdf,DNV-CG-0060.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0063_f757bbf8,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0063.pdf,DNV-CG-0063.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0121_f105222f,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0121.pdf,DNV-CG-0121.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0127_b487a18b,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0127.pdf,DNV-CG-0127.pdf,pending,3
